Unidade do agendamento,Grupo,Procedimentos Padronizados,Quantidade (cortesia),Custo Direto (corteisa)
MOEMA,ESTÉTICA,PRÓ- SHAPE,3,119.10000000000001
MOEMA,ESTÉTICA,RADIOFREQUÊNCIA,60,1719.0
MOEMA,LAVIEEN,LAVIEEN,1074,103909.5
MOEMA,MEDICINA ESTÉTICA,BOTOX POWER,4,1231.28
MOOCA,ESTÉTICA,CARBOXITERAPIA,6,144.72
MOOCA,ESTÉTICA,HECCUS,4,86.4
MOOCA,ESTÉTICA,HIDRATAÇÃO,71,1644.36
MOOCA,ESTÉTICA,LIMPEZA DE PELE,114,4530.360000000001
MOOCA,ESTÉTICA,PEELING DE DIAMANTE,252,8242.92
MOOCA,ESTÉTICA,PRÓ- SHAPE,5,198.5
MOOCA,ESTÉTICA,RADIOFREQUÊNCIA,38,1088.7
MOOCA,LAVIEEN,LAVIEEN,357,34539.75
OSASCO,ESTÉTICA,CARBOXITERAPIA,8,192.96
OSASCO,ESTÉTICA,HECCUS,6,129.60000000000002
OSASCO,ESTÉTICA,HIDRATAÇÃO,73,1690.68
OSASCO,ESTÉTICA,LIMPEZA DE PELE,132,5245.68
OSASCO,ESTÉTICA,PEELING DE DIAMANTE,640,20934.4
OSASCO,ESTÉTICA,PRÓ- SHAPE,1,39.7
OSASCO,ESTÉTICA,RADIOFREQUÊNCIA,28,802.1999999999999
OSASCO,LAVIEEN,LAVIEEN,628,60759.0
RIBEIRÃO PRETO,ESTÉTICA,CARBOXITERAPIA,2,48.24
RIBEIRÃO PRETO,ESTÉTICA,HECCUS,2,43.2
RIBEIRÃO PRETO,ESTÉTICA,HIDRATAÇÃO,27,625.32
RIBEIRÃO PRETO,ESTÉTICA,LIMPEZA DE PELE,65,2583.1
RIBEIRÃO PRETO,ESTÉTICA,PEELING DE DIAMANTE,262,8570.02
RIBEIRÃO PRETO,ESTÉTICA,RADIOFREQUÊNCIA,8,229.2
RIBEIRÃO PRETO,LAVIEEN,LAVIEEN,278,26896.5
SANTO AMARO,ESTÉTICA,CARBOXITERAPIA,21,506.52000000000004
SANTO AMARO,ESTÉTICA,HECCUS,11,237.60000000000002
SANTO AMARO,ESTÉTICA,HIDRATAÇÃO,244,5651.04
SANTO AMARO,ESTÉTICA,LIMPEZA DE PELE,96,3815.04
SANTO AMARO,ESTÉTICA,PEELING DE DIAMANTE,914,29896.940000000002
SANTO AMARO,ESTÉTICA,PRÓ- SHAPE,4,158.8
SANTO AMARO,ESTÉTICA,RADIOFREQUÊNCIA,47,1346.55
SANTO AMARO,LAVIEEN,LAVIEEN,490,47407.5
SANTO AMARO,MEDICINA ESTÉTICA,BOTOX POWER,5,1539.1
SANTOS,ESTÉTICA,CARBOXITERAPIA,21,506.52000000000004
SANTOS,ESTÉTICA,HECCUS,17,367.20000000000005
SANTOS,ESTÉTICA,HIDRATAÇÃO,157,3636.12
SANTOS,ESTÉTICA,LIMPEZA DE PELE,170,6755.8
SANTOS,ESTÉTICA,PEELING DE DIAMANTE,458,14981.18
SANTOS,ESTÉTICA,PRÓ- SHAPE,1,39.7
SANTOS,ESTÉTICA,RADIOFREQUÊNCIA,75,2148.75
SANTOS,LAVIEEN,LAVIEEN,522,50503.5
SANTOS,MEDICINA ESTÉTICA,BOTOX POWER,4,1231.28
SOROCABA,ESTÉTICA,HECCUS,3,64.80000000000001
SOROCABA,ESTÉTICA,HIDRATAÇÃO,65,1505.4
SOROCABA,ESTÉTICA,LIMPEZA DE PELE,89,3536.86
SOROCABA,ESTÉTICA,PEELING DE DIAMANTE,541,17696.11
SOROCABA,ESTÉTICA,PRÓ- SHAPE,1,39.7
SOROCABA,ESTÉTICA,RADIOFREQUÊNCIA,83,2377.95
SOROCABA,LAVIEEN,LAVIEEN,532,51471.0
SOROCABA,MEDICINA ESTÉTICA,BOTOX POWER,1,307.82
SÃO BERNARDO,ESTÉTICA,HIDRATAÇÃO,6,138.96
